operator,instance,run,best_cost,gap_percent,iterations,elapsed_seconds
insertion,bur26c,0,5493298,1.2254562776003146,500,0.1444796440000573
insertion,bur26c,1,5469762,0.7917564603048393,500,0.13985391599999275
insertion,bur26c,2,5513605,1.5996550450127562,500,0.14519906999998966
insertion,bur26c,3,5500884,1.3652441265977433,500,0.13092131499979587
insertion,bur26c,4,5538674,2.061603580013618,500,0.1328736409998328
insertion,bur26c,5,5452958,0.4821077634220567,500,0.14654030299993792
insertion,bur26c,6,5550166,2.2733676138494268,500,0.1373331950001102
insertion,esc32h,0,522,19.17808219178082,500,0.20159078300002875
insertion,esc32h,1,544,24.200913242009133,500,0.20043071500003862
insertion,esc32h,2,468,6.8493150684931505,500,0.19072523599993474
insertion,esc32h,3,498,13.698630136986301,500,0.19265852800003813
insertion,esc32h,4,496,13.24200913242009,500,0.21414296700004343
insertion,esc32h,5,512,16.894977168949772,500,0.19617662799987556
insertion,esc32h,6,514,17.35159817351598,500,0.20640705699997852
insertion,esc64a,0,150,29.310344827586203,500,1.0598547350000445
insertion,esc64a,1,134,15.517241379310345,500,1.0683474190000197
insertion,esc64a,2,132,13.793103448275861,500,1.0427222129999336
insertion,esc64a,3,132,13.793103448275861,500,1.0711332680000396
insertion,esc64a,4,134,15.517241379310345,500,1.0902066599999216
insertion,esc64a,5,138,18.96551724137931,500,1.3279832010000518
insertion,esc64a,6,152,31.03448275862069,500,1.677206291999937
insertion,lipa60a,0,108677,1.3607789736797926,500,1.415280131000145
insertion,lipa60a,1,108789,1.4652390456826279,500,1.1098979239998243
insertion,lipa60a,2,108708,1.3896920293234345,500,0.860107188000029
insertion,lipa60a,3,108722,1.402749538323789,500,0.8662747830001081
insertion,lipa60a,4,108760,1.438191348467608,500,0.8683391249999204
insertion,lipa60a,5,108737,1.4167397265384545,500,0.874747952000007
insertion,lipa60a,6,108782,1.4587102911824508,500,0.8909297310001421
insertion,tai80a,0,14586024,8.051153314155878,500,1.8784145909999097
insertion,tai80a,1,14477146,7.244600858837097,500,1.898869563999824
insertion,tai80a,2,14574176,7.963385046088711,500,2.1556739499999367
insertion,tai80a,3,14432998,6.917558868743473,500,3.097667311999885
insertion,tai80a,4,14483348,7.290544376608245,500,2.1652451830000246
insertion,tai80a,5,14440572,6.973665963809368,500,1.9033865209999021
insertion,tai80a,6,14537844,7.694242852012388,500,1.8844579080000585
insertion,tai80b,0,1025263688,25.27429655273333,500,1.9101146170000902
insertion,tai80b,1,1022141650,24.89282287055909,500,1.9022069360000842
insertion,tai80b,2,1035888427,26.572505706007654,500,2.6048628589999225
insertion,tai80b,3,987886539,20.707280181310157,500,3.049306832999946
insertion,tai80b,4,1018701543,24.472485166673554,500,1.9022391309999875
insertion,tai80b,5,973040988,18.893341015971526,500,1.9080373620001865
insertion,tai80b,6,991996739,21.209494801527004,500,1.9600803020000512
